NoStrat,KEY,dataset,fire_year,sample_year,sample_gap_yr,FIRE,plotname,PLOT,ValueFrom,RdNBR,RdNBR_BL,dNBR,dNBR_BL,dNBR_Offset,dNBR_Offset_BL,RBR,RBR_BL,preNBR,lon,lat,elev,slope,aspect,HeatLoad,MaxTreeHeight,QMD_LAF,QMD_all,FIRESEV,FIRESEVCODE,FIRESEVNUM,CHARHT,CHARHT_percMax,BOLESCORCH,LITTDUFFMM,SOILCHARMM,CHARCOV,LiveVegCov,Firemort.BA.p,Firemort.trees.p,over1,over2,FieldClass,FieldClass2,under1,under2,ba_ha,stems_ha,RedGrayGreenStage.BA.p,OutbreakStage
All,225,BJH,2008,2010,2,newfork,43,225,Extraction,855,809,567,521,556,510,377,345,0.42268,-109.924,43.0837,2564,14,241,0.895436,27.8,14.12,14.37,sevsurf,c,2,14.8,0.53,1,6.9,14.6,0.42,0.19,1,1,PICO,PSME,3,3,,,21.34,1316,0.07,greenattack
All,226,BJH,2008,2010,2,newfork,44,226,Extraction,734,690,455,418,444,407,311,566,0.36539,-109.922,43.0832,2589,18,186,0.942406,24.8,12.24,12.22,sevsurf,c,2,5.4,0.22,0.93,19,17.1,0.2,0.32,1,1,PICO,,3,3,,,24.21,2065,0,greenattack
All,227,BJH,2008,2010,2,newfork,45,227,Extraction,634,617,377,381,366,370,259,353,0.33333,-109.924,43.086,2606,5,144,0.766905,24.8,19.65,20.55,crown,d,3,13.4,0.54,1,9.5,12.6,0.3,0.04,1,1,PICO,PSME,3,3,,,30.94,934,0.24,greenattack
All,228,BJH,2008,2010,2,newfork,46,228,Extraction,1271,1101,815,695,804,684,559,478,0.4,-109.919,43.0894,2615,1,282,0.743521,23.4,14.02,15.03,crown,d,3,18.1,0.77,1,5.6,19.1,0.61,0.11,1,1,PICO,,3,3,,,26.59,1500,0.21,greenattack
All,229,BJH,2008,2010,2,newfork,47,229,Extraction,1225,1231,854,844,843,833,558,85,0.47368,-109.921,43.0896,2611,2,274,0.756398,23.6,14.89,15.27,crown,d,3,20,0.85,1,1.1,12.2,0.73,0.05,1,1,PICO,,3,3,,,31.33,1712,0.07,greenattack
All,230,BJH,2008,2010,2,newfork,48,230,Extraction,1296,1274,852,820,841,809,577,287,0.42105,-109.922,43.0895,2610,1,64,0.720042,22.3,10.22,10.26,crown,d,3,18.5,0.83,1,3,5.3,0.87,0.08,1,1,PICO,,3,3,,,36.61,4428,0.02,greenattack
All,231,BJH,2008,2010,2,newfork,49,231,Extraction,1245,1235,756,758,745,747,533,555,0.35803,-109.924,43.0895,2611,2,235,0.755982,22.2,11.67,13.81,crown,d,3,15.4,0.69,1,1.1,15.3,0.66,0.07,1,1,PICO,,3,3,,,29.44,1966,0.05,greenattack
All,232,BJH,2008,2010,2,newfork,50,232,Extraction,1105,1185,679,776,668,765,474,356,0.36585,-109.923,43.0886,2612,1,1,0.725806,22.3,15.93,17.63,crown,d,3,19.6,0.88,1,4.1,14.8,0.55,0.1,1,1,PICO,,3,3,,,28.64,1174,0.33,greenattack
All,233,BJH,2008,2010,2,newfork,51,233,Extraction,1136,1039,799,727,788,716,518,392,0.48148,-109.921,43.0886,2610,1,324,0.735428,19.9,14.67,14.9,sevsurf,c,2,16.3,0.82,1,11.1,8.9,0.33,0.04,1,1,PICO,,3,3,,,37.23,2136,0.07,greenattack
All,234,BJH,2008,2010,2,newfork,55,234,Extraction,950,989,612,652,601,641,415,106,0.4,-109.932,43.0889,2585,9,143,0.788553,23.1,18.3,18.53,sevsurf,c,2,13.2,0.57,1,6.6,5.9,0.26,0.2,1,1,PICO,,3,3,,,27.83,1033,0.05,greenattack
