fire_year,FIRE,plotname,PLOT,RdNBR,RdNBR_BL,dNBR,dNBR_BL,RBR,RBR_BL,pre_NBR,lat,slope,HeatLoad,MaxTreeHeight,QMD_LAF,QMD_all,FIRESEVNUM,CHARHT_percMax,BOLESCORCH,CHARCOV,Firemort.BA.p,Firemort.trees.p,ba_ha,stems_ha,RedGrayGreenStage.BA.p
2012,LittleSands,LS17,474,395,254,327,230,184,118,0.47458,37.4482,9,0.738929,32,28.18888124,29.78200559,1,0.07,0.235294118,0.1,0.179319028,0.208333333,74.872182,775,0.124
2012,LittleSands,LS20,475,753,654,539,471,342,295,0.41304,37.4901,36,0.610602,20,17.97551413,18.65707291,1,0.3,0.805454546,0.5,0.927938072,0.977272727,37.5715725,1375,0
2013,Papoose,PA04,476,711,671,349,336,322,303,0.41177,37.7441,25,0.764029,25,11.9517981,19.0056031,1,0.07,0.368115942,0.225,0.184336199,0.142857143,48.9127485,1725,0.857
2013,Papoose,PA05,477,643,654,395,411,287,293,0.38462,37.7417,35,0.807272,29,10.54737568,16.46510273,1,0.09,0.575641026,0.6,0.492933619,0.411764706,41.4985725,1950,0.626
2013,Papoose,PA24,478,977,946,690,674,460,441,0.5,37.7898,60,0.460502,21,14.62412452,16.18427314,2,0.44,0.963513514,0.97,1,1,38.0388855,1850,0.537
2013,Papoose,PA33,479,618,569,126,147,235,221,0.21569,37.6473,0,0.807029,23,14.86504899,21.31198143,1,0.14,0.567692308,0.25,0.667529107,0.5,57.938958,1625,0.725
2013,Papoose,PA34,480,894,759,364,341,326,286,0.18812,37.6495,22,0.758578,,13.51968856,19.87746788,1,0.39,0.761875,0.7875,0.752584844,0.777777778,62.0328555,2000,0.623
2013,Papoose,PA36,481,209,254,221,219,84,101,0.26214,37.6414,10,0.713826,26,8.752229015,18.6125343,1,0.07,0.148333333,0.35,0.244897959,0.2,40.7917125,1500,0.822
2013,Papoose,PA38,482,628,636,331,297,247,254,0.23729,37.6595,11,0.760652,,17.7373836,19.52596069,1,0.19,0.725423729,0.575,0.446082683,0.477272727,56.9316825,1450,0.181
2013,WestFork,WF03,483,313,431,118,215,134,194,0.32632,37.6025,27,1.074188,24,19.76725724,26.35208945,1,0.13,0.748684211,0.4,0.83961825,0.818181818,51.7873125,950,0.54
2013,WestFork,WF04,484,740,679,463,421,342,310,0.45206,37.5994,25,1.067712,34,18.94447964,23.17612854,1,0.18,0.78125,0.525,0.599222361,0.852941176,67.4638965,1600,0.547
2013,WestFork,WF06,485,673,597,375,369,304,267,0.4,37.5991,24,1.031772,,7.10174465,18.99303674,1,0.05,0.293103448,0.15,0.590622182,0.523809524,41.060712,1450,0.816
2013,WestFork,WF08,486,279,315,222,212,126,143,0.40187,37.5958,12,0.64976,23,13.61974515,17.57115471,1,0.18,0.674117647,0.4,0.578811786,0.656716418,64.71696,2125,0.194
2013,WestFork,WF10,487,674,639,228,234,275,262,0.26923,37.5793,9,0.833368,25,12.7265408,26.28925091,1,0.11,0.611363636,0.425,0.52943314,0.55,59.678619,1100,0.88
2013,WestFork,WF11,488,632,598,284,279,252,239,0.25,37.5805,15,0.967686,,10.36281938,28.97970093,1,0.17,0.360869565,0.325,0.198757764,0,89.920446,1075,0.649
2013,WestFork,WF15,489,573,565,345,333,244,242,0.31579,37.6221,20,0.930993,27,8.580631769,18.79491615,1,0.14,0.291954023,0.4,0.526829268,0.5,60.3128295,2175,0.722
2013,WestFork,WF16,490,379,428,404,412,169,191,0.38462,37.6247,21,0.886787,20,10.61401789,22.49543534,1,0.2,0.349180328,0.225,0.153345175,0.428571429,60.5798655,1525,0.448
2013,WestFork,WF17,491,645,682,418,455,288,303,0.38462,37.6274,38,0.726956,24,17.89310083,27.73178774,1,0.05,0.173076923,0.15,0.070089286,0.083333333,79.9910265,1325,0.735
2013,WestFork,WF21,492,497,626,295,300,208,267,0.29546,37.6412,27,0.434097,24,11.37328415,19.97556558,1,0.01,0.244,0.35,0.478453039,0.47826087,39.1541535,1250,0.767
2013,WestFork,WF25,493,677,650,456,409,293,288,0.33333,37.6466,13,0.614978,20,8.297785753,19.63021117,1,0.22,0.668085106,0.3,0.349405548,0.636363636,35.543277,1175,0.858
2013,WestFork,WF26,494,565,584,348,342,250,257,0.36842,37.6469,8,0.716616,22,10.80312856,18.37005988,1,0.01,0.091489362,0.1,0.056199397,0.042553191,62.2527675,2350,0.584
2013,WestFork,WF32,495,633,593,553,509,296,276,0.48235,37.4675,0,0.809475,20,12.82971893,20.12220626,1,0.16,0.766666667,0.15,0.843916205,0.824561404,52.445085,1650,0.477
2013,WestFork,WF33,496,259,271,389,396,120,126,0.47273,37.4741,18,0.762334,27,23.30952294,28.21362882,1,0.44,0.913793103,0.3,0.305466407,0.8,90.6057075,1450,0.283
2013,WestFork,WF40,497,491,423,183,104,208,183,0.31111,37.4749,31,1.049308,25,28.33361032,31.51020107,2,0.46,0.851612903,0.1,0.993864443,0.923076923,60.405114,775,0.425
2013,WestFork,WF41,498,349,411,262,277,153,181,0.35065,37.4783,32,0.593941,36,19.03715174,28.34172784,1,0.28,0.908888889,0.1,1,1,70.937328,1125,0.64
2013,WestFork,WF45,499,461,470,193,259,210,214,0.41936,37.4846,26,1.045747,30,16.81414327,33.09813434,1,0.22,0.846428571,0.3,0.898887765,0.928571429,60.196983,700,0.821
2013,WindyPass,WP02,500,742,727,476,436,348,333,0.49367,37.4466,8,0.804733,21,24.41036606,33.83390321,1,0.03,0.2,0.175,0.374645818,0.25,89.861541,1000,0.706
2013,WindyPass,WP03,501,819,829,502,520,378,385,0.44555,37.4471,46,0.752768,,22.20362769,35.81577288,1,0.16,0.862790698,0.85,0.147133435,0.6,108.2497185,1075,0.648
2013,WindyPass,WP04,502,807,802,470,468,365,364,0.40741,37.4441,50,0.942073,30,15.9817332,23.99078645,1,0.14,0.679411765,0.725,0.885002798,0.904761905,76.808193,1700,0.513
2013,WindyPass,WP05,503,715,704,439,431,331,326,0.45882,37.4448,37,0.877829,22.8,16.09757667,24.65827644,1,0.09,0.695348837,0.6,0.531414531,0.608695652,51.310182,1075,0.885
2013,WindyPass,WP09,504,762,728,450,433,347,333,0.42169,37.4398,25,1.043668,30,17.37297851,24.77891286,1,0.23,0.474242424,0.2,0.288674033,0.645833333,79.5276405,1650,0.478
2013,WindyPass,WP10,505,843,827,509,476,386,372,0.43158,37.4377,14,0.978508,32,22.25153827,28.86467437,1,0.27,0.776470588,0.65,0.34915192,0.794117647,83.389845,1275,0.647
